Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
Scream,2022,76,92240,The fifth,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the...",Matt Bettinelli-Olpin,"Neve Campbell, Courteney Cox, David Arquette, Melissa Barrera"
Come to Daddy,2019,88,92827,"Bloody horror with barbed wit,","A privileged man-child arrives at the beautiful and remote coastal cabin of his estranged father, whom he hasn't seen in...",Ant Timpson,"Elijah Wood, Stephen McHattie, Martin Donovan, Michael Smiley"
Bones and All,2022,81,96381,"Although its subject matter may be hard to stomach,","BONES AND ALL is a story of first love between Maren, a young woman learning how to survive on the...",Luca Guadagnino,"Taylor Russell, Timothée Chalamet, Michael Stuhlbarg, André Holland"
The Lost Boys,1987,77,83991,"Flawed but eminently watchable, Joel Schumacher's teen vampire thriller blends horror, humor, and plenty of visual style with standout performances from a cast full of young 1980s stars.",Teenage brothers Michael (Jason Patric) and Sam (Corey Haim) move with their mother (Dianne Wiest) to a small town in...,Joel Schumacher,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes"
Dawn of the Dead,2004,76,82308,"A kinetic, violent and surprisingly worthy remake of George Romero's horror classic that pays homage to the original while working on its own terms.","When her husband is attacked by a zombified neighbor, Ana (Sarah Polley) manages to escape, only to realize her entire...",Zack Snyder,"Sarah Polley, Ving Rhames, Jake Weber, Mekhi Phifer"
Fear Street Part One: 1994,2021,84,89342,,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued...,Leigh Janiak,"Kiana Madeira, Olivia Welch, Benjamin Flores Jr., Gillian Jacobs"
Bram Stoker's Dracula,1992,77,82639,"Overblown in the best sense of the word, Francis Ford Coppola's vision of Bram Stoker's Dracula rescues the character from decades of campy interpretations -- and features some terrific performances to boot.",Adaptation of Bram Stoker's classic vampire novel. Gary Oldman plays Dracula whose lonely soul is determined to reunite with his...,Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves"
Frailty,2002,75,80013,"Creepy and disturbing, Frailty is well-crafted, low-key horror.","Set in present day Texas, ""Frailty"" centers on the FBI's search for a serial killer who calls himself ""God's Hands.""...",Bill Paxton,"Bill Paxton, Matthew McConaughey, Powers Boothe, Matt O'Leary"
1408,2007,80,86791,"Relying on psychological tension rather than overt violence and gore,",Mike Enslin (John Cusack) is a successful author who enjoys worldwide acclaim debunking supernatural phenomena -- before he checks into...,Mikael Håfström,"John Cusack, Samuel L. Jackson, Mary McCormack, Jasmine Anthony"
Little Monsters,2019,79,85437,"Led by typically outstanding work from Lupita Nyong'o,",...,Abe Forsythe,"Lupita Nyong'o, Josh Gad, Stephen Peacocke, Kat Stewart"
Scary Stories to Tell in the Dark,2019,77,88985,"Like the bestselling series of books that inspired it,",The shadow of the Bellows family has loomed large in the small town of Mill Valley for generations. It's in...,André Øvredal,"Zoe Margaret Colletti, Michael Garza, Gabriel Rush, Austin Abrams"
Running Scared,1986,63,64737,,"Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio...",Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer"
Equilibrium,2002,40,42442,Equilibrium is a reheated mishmash of other sci-fi movies.,"In a futuristic world, a regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and...",Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen"
Hero,2002,94,101094,"With death-defying action sequences and epic historic sweep,","In this visually arresting martial arts epic set in ancient China, an unnamed fighter (Jet Li) is being honored for...",Yimou Zhang,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Donnie Yen"
Road House,1989,44,48157,Whether,"The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton (Patrick Swayze) has...",Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
Unstoppable,2010,87,94819,"As fast, loud, and relentless as the train at the center of the story,","When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train...",Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn"
Shaft,1971,88,93296,"This is the man that would risk his neck for his brother, man. Can you dig it?","John Shaft (Richard Roundtree) is the ultimate in suave black detectives. He first finds himself up against Bumpy (Moses Gunn),...",Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi"
The Villainess,2017,85,89039,,"Honed from childhood to be an elite assassin, Sook-hee embarks on a rampage of violence and revenge to finally earn...",Jeong Byeong-gil,"Kim Ok-bin, Shin Ha-kyun, Sung-joon, Kim Seo-hyung"
Highlander,1986,71,74335,People hate,When the mystical Russell Nash (Christopher Lambert) kills a man in a sword fight in a New York City parking...,Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown"
Die Hard 2,1990,69,74388,"It lacks the fresh thrills of its predecessor, but","A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this...",Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
National Treasure,2004,46,51702,,Historian and code-breaker Ben Gates (Nicolas Cage) has been searching his whole life for a rumored treasure dating back to...,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean"
The Protector,2005,53,55787,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.",A young fighter (Tony Jaa) travels to Australia to retrieve stolen elephants that were promised originally to the king of...,Prachya Pinkaew,"Tachakorn Yeerum, Johnny Nguyen, Nathan Jones, Phetthai Vongkumlao"
Revenge,2017,93,99814,,Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced...,Coralie Fargeat,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
El Mariachi,1992,91,97645,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.",El Mariachi (Carlos Gallardo) is a traveling guitar player with the modest desire to play music for a living. Looking...,Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt"
A Touch of Zen,1971,97,100957,"A brilliantly directed feast for the eyes with an epic story to match,","Ku Shen Chai (Chun Shih), an unmotivated artist in his early 30s, still lives with his mother, but he is...",King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao"
Top Gun,1986,57,64828,"Though it features some of the most memorable and electrifying aerial footage shot with an expert eye for action,",The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying...,Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer"
